GB	Caste
GB42140	NDEG
GB42141	Q
GB42142	NA
GB42143	NA
GB42144	NA
GB42145	NA
GB42146	NA
GB42147	NA
GB42148	NA
GB42149	NA
GB42150	NA
GB42151	NA
GB42152	NDEG
GB42153	NA
GB42155	NA
GB42156	NA
GB42157	NA
GB42159	NA
GB42160	NA
GB42161	NA
GB42162	NA
GB42163	NA
GB42164	NA
GB42166	NA
GB42167	NA
GB42168	NDEG
GB42169	NA
GB42170	NA
GB42171	NA
GB42172	NA
GB42174	NA
GB42175	NA
GB42176	NA
GB42177	NA
GB42178	NA
GB42180	NA
GB42181	NA
GB42182	NA
GB42183	NA
GB42184	NA
GB42186	NA
GB42187	NA
GB42188	NA
GB42189	NA
GB42190	NA
GB42191	NA
GB42192	NA
GB42193	NA
GB42194	NA
GB42195	NA
GB42196	NA
GB42198	NA
GB42200	NA
GB42201	NA
GB42202	NA
GB42203	NDEG
GB42204	NA
GB42205	NA
GB42206	NA
GB42207	NA
GB42208	NA
GB42209	NA
GB42210	NA
GB42211	NA
GB42213	NA
GB42215	NA
GB42216	NA
GB42218	NDEG
GB42219	NA
GB42220	NDEG
GB42222	NA
GB42223	NDEG
GB42224	NA
GB42225	NA
GB42227	NA
GB42228	NA
GB42230	NA
GB42231	NA
GB42233	NDEG
GB42234	NDEG
GB42236	NA
GB42237	NA
GB42238	NA
GB42239	NDEG
GB42241	NA
GB42244	NA
GB42245	NA
GB42246	NA
GB42247	NA
GB42249	NA
GB42250	NA
GB42252	NA
GB42256	NA
GB42257	NA
GB42258	NA
GB42259	NA
GB42260	NA
GB42261	NDEG
GB42262	NA
GB42263	NA
GB42264	NDEG
GB42265	NA
GB42266	NA
GB42267	NA
GB42268	NA
GB42269	NA
GB42271	NA
GB42272	NA
GB42273	NA
GB42274	NA
GB42275	NA
GB42276	NA
GB42277	NA
GB42278	NA
GB42279	NA
